id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5,ic2_,quantile_ic3
44060,FL,Male,1158.286574654956,7,6,16,28,100.0,392,430.0,466,520.0,21975.0,Moderate,"(365.0, 479.75]"
96093,IL,Male,537.0,0,1,89,5,7.0,365,415.0,410,473.0,19387.0,Moderate,"(365.0, 479.75]"
43333,FL,Female,725.0,3,11,17,4,5.0,301,340.0,361,436.0,18837.0,Low,"(287.0, 365.0]"
21885,NC,Male,1158.286574654956,7,1,74,27,38.0,401,407.0,399,413.0,14014.0,Moderate,"(365.0, 479.75]"
190108,FL,Female,995.0,0,5,6,6,5.0,252,280.0,316,348.0,17991.0,Low,"(287.0, 365.0]"
100640,IL,Male,764.0,1,2,75,25,30.0,457,477.0,480,501.0,16022.0,Moderate,"(479.75, 1311.0]"
18581,NC,Female,775.0,5,0,73,4,12.0,318,364.0,380,419.0,13491.0,Low,"(365.0, 479.75]"
119038,TX,Male,890.0,0,2,46,6,7.0,519,525.0,551,560.0,17872.0,Moderate,"(479.75, 1311.0]"
173223,CA,Female,1158.286574654956,0,2,63,8,10.0,184,206.0,235,250.0,8708.0,Low,"(-0.001, 287.0]"
141720,NV,Female,1569.0,22,3,44,13,5.0,673,672.0,785,781.0,25775.0,Moderate,"(479.75, 1311.0]"
186272,CA,Female,3515.0,97,11,54,8,10.0,521,565.0,549,588.0,20068.0,Moderate,"(479.75, 1311.0]"
154301,Cali,Female,1026.0,1,12,52,11,10.0,459,470.0,491,496.0,13803.0,Moderate,"(479.75, 1311.0]"
189722,AP,Male,0.0,0,0,0,5,6.0,0,0.0,0,0.0,0.0,Low,"(-0.001, 287.0]"
73699,MI,Female,890.0,1,5,53,11,15.0,463,474.0,512,523.0,9493.0,Moderate,"(479.75, 1311.0]"
31977,FL,Female,1513.0,31,3,24,18,28.0,521,599.0,615,702.0,28124.0,Moderate,"(479.75, 1311.0]"
44336,FL,Female,948.0,4,6,8,15,15.0,330,365.0,368,411.0,17728.0,Low,"(365.0, 479.75]"
127823,TX,Female,258.0,0,0,94,5,6.0,64,60.0,93,74.0,4236.0,Low,"(-0.001, 287.0]"
150739,CA,U,1951.0,44,10,66,9,12.0,556,578.0,619,625.0,17208.0,Moderate,"(479.75, 1311.0]"
41384,FL,Female,556.0,0,16,22,9,12.0,318,358.0,320,,11779.0,Low,"(287.0, 365.0]"
114721,OK,Female,1040.0,0,2,56,11,15.0,472,609.0,579,656.0,26962.0,Moderate,"(479.75, 1311.0]"
111795,AR,Female,603.0,2,1,70,5,5.0,208,264.0,288,341.0,12038.0,Low,"(287.0, 365.0]"
64480,IN,Female,526.0,1,1,80,7,10.0,277,336.0,317,370.0,12826.0,Low,"(287.0, 365.0]"
87259,MT,Male,717.0,1,1,53,9,25.0,302,458.0,349,432.0,15614.0,Moderate,"(287.0, 365.0]"
115823,TX,Male,1011.0,1,5,61,6,15.0,593,588.0,650,650.0,17606.0,Moderate,"(479.75, 1311.0]"
95701,IL,Male,1063.0,3,16,53,8,5.0,255,260.0,312,317.0,14023.0,Low,"(287.0, 365.0]"
5172,IL,Male,291.0,0,5,67,10,10.0,136,168.0,180,212.0,8370.0,Low,"(-0.001, 287.0]"
