M-Y,no_of_accounts,no_of_trans,amount_moved
April-1993,42,127,1360067
April-1994,139,759,5641997
April-1995,218,1129,8442562
April-1996,344,1717,12814248
April-1997,531,2881,21931643
April-1998,606,3402,25075115
August-1993,84,361,3580094
August-1994,162,879,7197471
August-1995,251,1334,10218395
August-1996,421,2196,17738420
August-1997,577,3193,24027948
August-1998,606,3447,25744009
December-1993,125,655,6262174
December-1994,183,1132,9590740
December-1995,278,1697,14215494
December-1996,487,2895,25639538
December-1997,604,3855,32938464
December-1998,602,3059,30200383
February-1993,17,42,361805
February-1994,133,646,4583938
February-1995,201,997,6791646
February-1996,307,1564,11032199
February-1997,511,2543,18013608
February-1998,606,3198,22434358
January-1993,7,10,55742
January-1994,129,965,6620346
January-1995,196,1624,10453867
January-1996,291,2461,16138547
January-1997,501,4093,26445216
January-1998,605,5335,33663154
July-1993,74,310,3049094
July-1994,157,854,6529925
July-1995,242,1331,10801289
July-1996,403,2050,16453255
July-1997,566,3139,23775498
July-1998,606,3486,26090207
June-1993,63,244,3035453
June-1994,150,866,7802599
June-1995,234,1312,12409650
June-1996,379,1972,18497353
June-1997,555,3242,30253977
June-1998,606,3711,35147421
March-1993,32,86,840536
March-1994,135,704,5365250
March-1995,209,1114,8751507
March-1996,328,1679,12516479
March-1997,519,2854,22183960
March-1998,605,3438,25255411
May-1993,54,182,2097818
May-1994,144,809,6422793
May-1995,226,1230,9657467
May-1996,361,1842,14705234
May-1997,543,2966,22312830
May-1998,606,3448,25717547
November-1993,120,522,4195208
November-1994,178,959,7235662
November-1995,273,1466,10826546
November-1996,467,2431,19114780
November-1997,603,3329,24868143
November-1998,606,3416,25010823
October-1993,107,478,4241322
October-1994,169,946,7297442
October-1995,260,1425,10674283
October-1996,447,2406,19067481
October-1997,600,3381,26450043
October-1998,606,3449,26776587
September-1993,97,404,3433425
September-1994,165,904,7429842
September-1995,253,1341,10165033
September-1996,434,2239,17359570
September-1997,591,3264,25569472
September-1998,606,3462,26510676
